,Food,Per_gram,Per_item,Classification
1,noodles and alfredo sauce,-2,2,N
2,cheese curls,-1,-28,N
3,green beans,-4.5,-6,N
4,mixed fruits,4,8,N
5,cereal,5,6,N
6,fig bars,-12,-1,N
7,oatmeal raisin cookie,1,10,N
8,crumb cake,9,13,N
9,crackers,10,15,N
10,blue cheese dressing,-6,-4,N
11,imperial chicken,-6,-4,N
12,vegetable soup,-17,-18,N
13,cheese,7,10,N
14,chocolate pudding,4,5,N
15,sausage biscuit,-4,3,N
16,lasagna,-11,-7,N
17,spread cheese,14,3,N
18,lentil soup,-1,-0.5,N
19,pasta with shrimp and tomato sauce,-10.5,-10,N
20,chocolate mousse,2,6,N
21,meatless sandwich,42,41,R
22,oatmeal cookie,38,46,R
23,lemon pound cake,-16,2,R
24,banana cake,5,25,R
25,brownie,11,39,R
26,butterscotch bar,7,16.5,R
27,blondie,12,17,R
28,oat bran snack bar,21,28,R
29,granola bar,-13,-3,R
30,apricot bar,13,14,R
31,chocolate chip cookie,16,34,R
32,carrot muffin,40,42,R
33,chinese chicken,´,15,L
34,gyoza,´,60,L
35,jelly diet candy-reds flavor,´,250,L
36,jelly diet candy-fruit flavor,´,145,L
37,Florentine manicotti,´,6,L
38,egg foo young,´,80,L
39,hummus with salad,´,95,L
40,baba ghanoush with salad,´,3,L
